name;flow;Hm
KSB  32-160 144;0,000386;38,05525
KSB  32-160 144;0,000387;38,05516
KSB  32-160 144;0,000388;38,05507
KSB  32-160 144;0,000389;38,05498
KSB  32-160 144;0,000390;38,05489
KSB  32-160 144;0,000391;38,0548
KSB  32-160 144;0,000392;38,05471
KSB  32-160 144;0,000393;38,05462
KSB  32-160 144;0,000394;38,05453
KSB  32-160 144;0,000395;38,05444
KSB  32-160 144;0,000396;38,05435
KSB  32-160 144;0,000397;38,05426
KSB  32-160 144;0,000398;38,05417
KSB  32-160 144;0,000399;38,05408
KSB  32-160 144;0,000400;38,05399
KSB  32-160 144;0,000401;38,05389
KSB  32-160 144;0,000402;38,0538
KSB  32-160 144;0,000403;38,05371
KSB  32-160 144;0,000404;38,05361
KSB  32-160 144;0,000405;38,05352
KSB  32-160 144;0,000406;38,05343
KSB  32-160 144;0,000407;38,05333
KSB  32-160 144;0,000408;38,05324
KSB  32-160 144;0,000409;38,05314
KSB  32-160 144;0,000410;38,05304
KSB  32-160 144;0,000411;38,05295
KSB  32-160 144;0,000412;38,05285
KSB  32-160 144;0,000413;38,05276
KSB  32-160 144;0,000414;38,05266
KSB  32-160 144;0,000415;38,05256
KSB  32-160 144;0,000416;38,05246
KSB  32-160 144;0,000417;38,05237
KSB  32-160 144;0,000418;38,05227
KSB  32-160 144;0,000419;38,05217
KSB  32-160 144;0,000420;38,05207
KSB  32-160 144;0,000421;38,05197
KSB  32-160 144;0,000422;38,05187
KSB  32-160 144;0,000423;38,05177
KSB  32-160 144;0,000424;38,05167
KSB  32-160 144;0,000425;38,05157
KSB  32-160 144;0,000426;38,05147
KSB  32-160 144;0,000427;38,05137
KSB  32-160 144;0,000428;38,05126
KSB  32-160 144;0,000429;38,05116
KSB  32-160 144;0,000430;38,05106
KSB  32-160 144;0,000431;38,05096
KSB  32-160 144;0,000432;38,05085
KSB  32-160 144;0,000433;38,05075
KSB  32-160 144;0,000434;38,05065
KSB  32-160 144;0,000435;38,05054
KSB  32-160 144;0,000436;38,05044
KSB  32-160 144;0,000437;38,05033
KSB  32-160 144;0,000438;38,05023
KSB  32-160 144;0,000439;38,05012
KSB  32-160 144;0,000440;38,05002
KSB  32-160 144;0,000441;38,04991
KSB  32-160 144;0,000442;38,0498
KSB  32-160 144;0,000443;38,0497
KSB  32-160 144;0,000444;38,04959
KSB  32-160 144;0,000445;38,04948
KSB  32-160 144;0,000446;38,04937
KSB  32-160 144;0,000447;38,04926
KSB  32-160 144;0,000448;38,04916
KSB  32-160 144;0,000449;38,04905
KSB  32-160 144;0,000450;38,04894
KSB  32-160 144;0,000451;38,04883
KSB  32-160 144;0,000452;38,04872
KSB  32-160 144;0,000453;38,04861
KSB  32-160 144;0,000454;38,0485
KSB  32-160 144;0,000455;38,04839
KSB  32-160 144;0,000456;38,04827
KSB  32-160 144;0,000457;38,04816
KSB  32-160 144;0,000458;38,04805
KSB  32-160 144;0,000459;38,04794
KSB  32-160 144;0,000460;38,04783
KSB  32-160 144;0,000461;38,04771
KSB  32-160 144;0,000462;38,0476
KSB  32-160 144;0,000463;38,04749
KSB  32-160 144;0,000464;38,04737
KSB  32-160 144;0,000465;38,04726
KSB  32-160 144;0,000466;38,04714
KSB  32-160 144;0,000467;38,04703
KSB  32-160 144;0,000468;38,04691
KSB  32-160 144;0,000469;38,0468
KSB  32-160 144;0,000470;38,04668
KSB  32-160 144;0,000471;38,04656
KSB  32-160 144;0,000472;38,04645
KSB  32-160 144;0,000473;38,04633
KSB  32-160 144;0,000474;38,04621
KSB  32-160 144;0,000475;38,04609
KSB  32-160 144;0,000476;38,04598
KSB  32-160 144;0,000477;38,04586
KSB  32-160 144;0,000478;38,04574
KSB  32-160 144;0,000479;38,04562
KSB  32-160 144;0,000480;38,0455
KSB  32-160 144;0,000481;38,04538
KSB  32-160 144;0,000482;38,04526
KSB  32-160 144;0,000483;38,04514
KSB  32-160 144;0,000484;38,04502
KSB  32-160 144;0,000485;38,0449
KSB  32-160 144;0,000486;38,04477
KSB  32-160 144;0,000487;38,04465
KSB  32-160 144;0,000488;38,04453
KSB  32-160 144;0,000489;38,04441
KSB  32-160 144;0,000490;38,04428
KSB  32-160 144;0,000491;38,04416
KSB  32-160 144;0,000492;38,04404
